customerID,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn,tenure_group,risk_score,risk_tier,value_tier,business_segment,Churn_flag,churn_probability,ml_risk_tier,expected_revenue_at_risk,actual_revenue_at_risk
6322-HRPFA,Male,No,Yes,Yes,49,Yes,No,DSL,Yes,Yes,No,Yes,No,No,Month-to-month,No,Credit card (automatic),59.6,2970.3,No,49-72 mo,3.5,Medium,Medium Value,Medium Risk - Watch,0,0.10942763939514853,Low,6.521887307950853,0.0
6865-JZNKO,Female,No,No,No,30,Yes,No,DSL,Yes,Yes,No,No,No,No,Month-to-month,Yes,Bank transfer (automatic),55.3,1530.6,No,25-48 mo,5.0,Medium,Medium Value,Medium Risk - Watch,0,0.27154128036922554,Medium,15.016232804418172,0.0
6467-CHFZW,Male,No,Yes,Yes,47,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,99.35,4749.15,Yes,25-48 mo,8.0,High,High Value,High Risk - Monitor Closely,1,0.6975238620852731,High,69.29899569817188,99.35
8665-UTDHZ,Male,No,Yes,Yes,1,No,No phone service,DSL,No,Yes,No,No,No,No,Month-to-month,No,Electronic check,30.2,30.2,Yes,0-6 mo,9.5,Critical,Low Value,Critical - At Risk,1,0.7503891083107841,Critical,22.66175107098568,30.2
5248-YGIJN,Male,No,Yes,No,72,Yes,Yes,DSL,Yes,Yes,Yes,Yes,Yes,Yes,Two year,Yes,Credit card (automatic),90.25,6369.45,No,49-72 mo,0.0,Low,High Value,Low Risk - Stable,0,0.055918862950699505,Low,5.04667738130063,0.0
8773-HHUOZ,Female,No,No,Yes,17,Yes,No,DSL,No,No,No,No,Yes,Yes,Month-to-month,Yes,Mailed check,64.7,1093.1,Yes,13-24 mo,7.0,High,Medium Value,High Risk - Monitor Closely,1,0.5276094944934691,High,34.13633429372745,64.7
3841-NFECX,Female,Yes,Yes,No,71,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,No,No,Two year,Yes,Credit card (automatic),96.35,6766.95,No,49-72 mo,1.0,Low,High Value,Low Risk - Stable,0,0.10611459254377846,Low,10.224140991593053,0.0
4929-XIHVW,Male,Yes,Yes,No,2,Yes,No,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),95.5,181.65,No,0-6 mo,9.5,Critical,High Value,Critical - High Value at Risk,0,0.9187284024165233,Critical,87.73856243077798,0.0
6827-IEAUQ,Female,No,Yes,Yes,27,Yes,No,DSL,Yes,Yes,Yes,Yes,No,No,One year,No,Mailed check,66.15,1874.45,No,25-48 mo,1.5,Low,Medium Value,Low Risk - Stable,0,0.09098111155227545,Low,6.018400529183022,0.0
7310-EGVHZ,Male,No,No,No,1,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Bank transfer (automatic),20.2,20.2,No,0-6 mo,6.0,High,Low Value,High Risk - Low Value,0,0.441545283853255,Medium,8.91921473383575,0.0
3413-BMNZE,Male,Yes,No,No,1,Yes,No,DSL,No,No,No,No,No,No,Month-to-month,No,Bank transfer (automatic),45.25,45.25,No,0-6 mo,9.0,Critical,Low Value,Critical - At Risk,0,0.6893174308265954,High,31.19161374490344,0.0
6234-RAAPL,Female,No,Yes,Yes,72,Yes,Yes,Fiber optic,Yes,Yes,No,Yes,Yes,No,Two year,No,Bank transfer (automatic),99.9,7251.7,No,49-72 mo,1.5,Low,High Value,Low Risk - Stable,0,0.07818133216679929,Low,7.81031508346325,0.0
6047-YHPVI,Male,No,No,No,5,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,69.7,316.9,Yes,0-6 mo,11.0,Critical,Medium Value,Critical - At Risk,1,0.8815713883504137,Critical,61.445525768023835,69.7
6572-ADKRS,Female,No,No,No,46,Yes,No,Fiber optic,No,No,Yes,No,No,No,Month-to-month,Yes,Credit card (automatic),74.8,3548.3,No,25-48 mo,7.0,High,Medium Value,High Risk - Monitor Closely,0,0.48294301512860743,Medium,36.12413753161984,0.0
5380-WJKOV,Male,No,No,No,34,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,106.35,3549.25,Yes,25-48 mo,7.5,High,High Value,High Risk - Monitor Closely,1,0.7760530036185069,Critical,82.53323693482821,106.35
8168-UQWWF,Female,No,No,No,11,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),97.85,1105.4,Yes,7-12 mo,8.5,Critical,High Value,Critical - High Value at Risk,1,0.8230216218359353,Critical,80.53266569664626,97.85
8865-TNMNX,Male,No,Yes,Yes,10,Yes,No,DSL,No,Yes,No,No,No,No,One year,No,Mailed check,49.55,475.7,No,7-12 mo,5.5,Medium,Low Value,Medium Risk - Watch,0,0.18004568587228828,Low,8.921263734971884,0.0
9489-DEDVP,Female,No,Yes,Yes,70,Yes,Yes,DSL,Yes,Yes,No,No,Yes,No,Two year,Yes,Credit card (automatic),69.2,4872.35,No,49-72 mo,1.5,Low,Medium Value,Low Risk - Stable,0,0.05423087824544052,Low,3.752776774584484,0.0
9867-JCZSP,Female,No,Yes,Yes,17,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Mailed check,20.75,418.25,No,13-24 mo,2.0,Low,Low Value,Low Risk - Stable,0,0.08584936642571464,Low,1.7813743533335789,0.0
4671-VJLCL,Female,No,No,No,63,Yes,Yes,DSL,Yes,Yes,Yes,Yes,Yes,No,Two year,Yes,Credit card (automatic),79.85,4861.45,No,49-72 mo,0.0,Low,Medium Value,Low Risk - Stable,0,0.061485368326182545,Low,4.909606660845676,0.0
4080-IIARD,Female,No,Yes,No,13,Yes,Yes,DSL,Yes,Yes,No,Yes,Yes,No,Month-to-month,Yes,Electronic check,76.2,981.45,No,13-24 mo,5.5,Medium,Medium Value,Medium Risk - Watch,0,0.5509793996063022,High,41.98463025000022,0.0
3714-NTNFO,Female,No,No,No,49,Yes,Yes,Fiber optic,No,No,No,No,No,Yes,Month-to-month,Yes,Electronic check,84.5,3906.7,No,49-72 mo,8.0,High,High Value,High Risk - Monitor Closely,0,0.6770896421099635,High,57.214074758291915,0.0
5948-UJZLF,Male,No,No,No,2,Yes,No,DSL,No,Yes,No,No,No,No,Month-to-month,No,Mailed check,49.25,97.0,No,0-6 mo,8.5,Critical,Low Value,Critical - At Risk,0,0.5709597023288748,High,28.119765339697086,0.0
7760-OYPDY,Female,No,No,No,2,Yes,No,Fiber optic,No,No,No,No,Yes,No,Month-to-month,Yes,Electronic check,80.65,144.15,Yes,0-6 mo,11.0,Critical,Medium Value,Critical - At Risk,1,0.9207640840963851,Critical,74.25962338237346,80.65
7639-LIAYI,Male,No,No,No,52,Yes,Yes,DSL,Yes,No,No,Yes,Yes,Yes,Two year,Yes,Credit card (automatic),79.75,4217.8,No,49-72 mo,1.0,Low,Medium Value,Low Risk - Stable,0,0.12284008550252047,Low,9.796496818826007,0.0
2954-PIBKO,Female,No,Yes,Yes,69,Yes,Yes,DSL,Yes,No,Yes,Yes,No,No,Two year,Yes,Credit card (automatic),64.15,4254.1,No,49-72 mo,0.5,Low,Medium Value,Low Risk - Stable,0,0.03522399886662047,Low,2.259619527293703,0.0
8012-SOUDQ,Female,Yes,No,No,43,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,No,Month-to-month,Yes,Electronic check,90.25,3838.75,No,25-48 mo,8.0,High,High Value,High Risk - Monitor Closely,0,0.739568402383317,Critical,66.74604831509436,0.0
9420-LOJKX,Female,No,No,No,15,Yes,No,Fiber optic,Yes,Yes,No,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),99.1,1426.4,Yes,13-24 mo,6.5,High,High Value,High Risk - Monitor Closely,1,0.682413772023824,High,67.62720480756096,99.1
6575-SUVOI,Female,Yes,Yes,No,25,Yes,Yes,DSL,Yes,No,No,Yes,Yes,No,Month-to-month,Yes,Credit card (automatic),69.5,1752.65,No,25-48 mo,4.5,Medium,Medium Value,Medium Risk - Watch,0,0.5273962969241759,High,36.65404263623022,0.0
7495-OOKFY,Female,Yes,Yes,No,8,Yes,Yes,Fiber optic,No,Yes,No,No,No,No,Month-to-month,Yes,Credit card (automatic),80.65,633.3,Yes,7-12 mo,8.5,Critical,Medium Value,Critical - At Risk,1,0.7913197305423754,Critical,63.81993626824258,80.65
4667-QONEA,Female,Yes,Yes,Yes,60,Yes,No,DSL,Yes,Yes,Yes,Yes,No,Yes,One year,Yes,Credit card (automatic),74.85,4456.35,No,49-72 mo,1.0,Low,Medium Value,Low Risk - Stable,0,0.10133996072847894,Low,7.585296060526648,0.0
1658-BYGOY,Male,Yes,No,No,18,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,95.45,1752.55,Yes,13-24 mo,9.0,Critical,High Value,Critical - High Value at Risk,1,0.8762656844023252,Critical,83.63955957620195,95.45
8769-KKTPH,Female,No,Yes,Yes,63,Yes,Yes,Fiber optic,Yes,No,No,No,Yes,Yes,One year,Yes,Credit card (automatic),99.65,6311.2,No,49-72 mo,4.0,Medium,High Value,Medium Risk - Watch,0,0.3735799406749408,Medium,37.227241088257855,0.0
5067-XJQFU,Male,Yes,Yes,Yes,66,Yes,Yes,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,One year,Yes,Electronic check,108.45,7076.35,No,49-72 mo,4.0,Medium,High Value,Medium Risk - Watch,0,0.45874988989982196,Medium,49.75142555963569,0.0
3957-SQXML,Female,No,Yes,Yes,34,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Credit card (automatic),24.95,894.3,No,25-48 mo,0.5,Low,Low Value,Low Risk - Stable,0,0.041597871519338844,Low,1.0378668944075042,0.0
5954-BDFSG,Female,No,No,No,72,Yes,Yes,Fiber optic,No,No,Yes,Yes,Yes,Yes,Two year,Yes,Credit card (automatic),107.5,7853.7,No,49-72 mo,2.5,Medium,High Value,Medium Risk - Watch,0,0.21465481094044278,Low,23.075392176097598,0.0
0434-CSFON,Female,No,Yes,No,47,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,100.5,4707.1,No,25-48 mo,8.0,High,High Value,High Risk - Monitor Closely,0,0.7425376982394392,Critical,74.62503867306364,0.0
1215-FIGMP,Male,No,No,No,60,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,No,Month-to-month,Yes,Bank transfer (automatic),89.9,5450.7,No,49-72 mo,6.5,High,High Value,High Risk - Monitor Closely,0,0.5266788629227827,High,47.34842977675817,0.0
0526-SXDJP,Male,No,Yes,No,72,No,No phone service,DSL,Yes,Yes,Yes,No,No,No,Two year,No,Bank transfer (automatic),42.1,2962.0,No,49-72 mo,1.0,Low,Low Value,Low Risk - Stable,0,0.025303341624904267,Low,1.0652706824084697,0.0
0557-ASKVU,Female,No,Yes,Yes,18,Yes,No,DSL,No,No,Yes,Yes,No,No,One year,Yes,Credit card (automatic),54.4,957.1,No,13-24 mo,3.5,Medium,Medium Value,Medium Risk - Watch,0,0.20618190647717605,Low,11.216295712358377,0.0
5698-BQJOH,Female,No,No,No,9,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,No,Electronic check,94.4,857.25,Yes,7-12 mo,10.0,Critical,High Value,Critical - High Value at Risk,1,0.8314765027158255,Critical,78.49138185637393,94.4
5122-CYFXA,Female,No,No,No,3,Yes,No,DSL,No,Yes,No,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,75.3,244.1,No,0-6 mo,8.5,Critical,Medium Value,Critical - At Risk,0,0.8066834213862426,Critical,60.74326163038407,0.0
8627-ZYGSZ,Male,No,Yes,No,47,Yes,Yes,Fiber optic,No,Yes,No,No,No,No,One year,Yes,Electronic check,78.9,3650.35,No,25-48 mo,6.0,High,Medium Value,High Risk - Monitor Closely,0,0.4303634383192602,Medium,33.95567528338963,0.0
3410-YOQBQ,Female,No,No,No,31,Yes,No,DSL,No,Yes,Yes,Yes,Yes,Yes,Two year,No,Mailed check,79.2,2497.2,No,25-48 mo,1.5,Low,Medium Value,Low Risk - Stable,0,0.10044891034100173,Low,7.955553699007337,0.0
3170-NMYVV,Female,No,Yes,Yes,50,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Bank transfer (automatic),20.15,930.9,No,49-72 mo,0.0,Low,Low Value,Low Risk - Stable,0,0.018341921878434593,Low,0.369589725850457,0.0
7410-OIEDU,Male,No,No,No,10,Yes,No,Fiber optic,Yes,No,Yes,No,No,No,Month-to-month,Yes,Mailed check,79.85,887.35,No,7-12 mo,7.5,High,Medium Value,High Risk - Monitor Closely,0,0.6049973052987239,High,48.309034828103094,0.0
2273-QCKXA,Male,No,No,No,1,Yes,No,DSL,No,No,No,Yes,No,No,Month-to-month,No,Mailed check,49.05,49.05,No,0-6 mo,8.0,High,Low Value,High Risk - Low Value,0,0.5707493735474999,High,27.995256772504867,0.0
0731-EBJQB,Female,No,Yes,Yes,52,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Electronic check,20.4,1090.65,No,49-72 mo,2.0,Low,Low Value,Low Risk - Stable,0,0.06884683120797168,Low,1.4044753566426222,0.0
1891-QRQSA,Male,Yes,Yes,Yes,64,Yes,Yes,Fiber optic,Yes,No,Yes,Yes,Yes,Yes,Two year,Yes,Bank transfer (automatic),111.6,7099.0,No,49-72 mo,1.5,Low,High Value,Low Risk - Stable,0,0.21927299479452664,Low,24.470866219069173,0.0
8028-PNXHQ,Male,No,Yes,Yes,62,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Bank transfer (automatic),24.25,1424.6,No,49-72 mo,0.0,Low,Low Value,Low Risk - Stable,0,0.024075812250056894,Low,0.5838384470638797,0.0
5630-AHZIL,Female,No,No,Yes,3,Yes,No,DSL,Yes,No,No,Yes,No,Yes,Month-to-month,Yes,Bank transfer (automatic),64.5,177.4,No,0-6 mo,7.0,High,Medium Value,High Risk - Monitor Closely,0,0.6386756328348144,High,41.19457831784553,0.0
2673-CXQEU,Female,Yes,No,No,56,Yes,Yes,Fiber optic,Yes,Yes,Yes,No,Yes,Yes,One year,No,Electronic check,110.5,6139.5,No,49-72 mo,4.0,Medium,High Value,Medium Risk - Watch,0,0.4538472785351173,Medium,50.15012427813046,0.0
6416-JNVRK,Female,No,No,No,46,Yes,No,DSL,No,No,No,No,No,Yes,One year,No,Credit card (automatic),55.65,2688.85,No,25-48 mo,4.5,Medium,Medium Value,Medium Risk - Watch,0,0.143444787581019,Low,7.982702428883707,0.0
5590-ZSKRV,Female,No,Yes,Yes,8,Yes,No,DSL,Yes,Yes,No,No,No,No,Month-to-month,No,Mailed check,54.65,482.25,No,7-12 mo,6.5,High,Medium Value,High Risk - Monitor Closely,0,0.27041757926400656,Medium,14.778320706777958,0.0
0191-ZHSKZ,Male,Yes,No,No,30,Yes,No,DSL,Yes,Yes,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,74.75,2111.3,No,25-48 mo,6.0,High,Medium Value,High Risk - Monitor Closely,0,0.5454323438825287,High,40.77106770521902,0.0
3887-PBQAO,Female,No,Yes,Yes,45,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Credit card (automatic),25.9,1216.6,No,25-48 mo,1.5,Low,Low Value,Low Risk - Stable,0,0.08463922496536741,Low,2.1921559266030157,0.0
5919-TMRGD,Female,No,No,Yes,1,Yes,No,Fiber optic,No,No,No,No,Yes,No,Month-to-month,Yes,Electronic check,79.35,79.35,Yes,0-6 mo,11.0,Critical,Medium Value,Critical - At Risk,1,0.9148600755969106,Critical,72.59414699861485,79.35
8108-UXRQN,Female,No,Yes,Yes,11,No,No phone service,DSL,Yes,No,No,No,Yes,Yes,Month-to-month,No,Electronic check,50.55,565.35,No,7-12 mo,8.0,High,Medium Value,High Risk - Monitor Closely,0,0.6313637325232351,High,31.91543667904953,0.0
9191-MYQKX,Female,No,Yes,No,7,Yes,No,Fiber optic,No,No,Yes,No,No,No,Month-to-month,Yes,Bank transfer (automatic),75.15,496.9,Yes,7-12 mo,8.5,Critical,Medium Value,Critical - At Risk,1,0.6978229347495702,High,52.441393546430206,75.15
9919-YLNNG,Female,No,No,No,42,Yes,No,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),103.8,4327.5,No,25-48 mo,5.5,Medium,High Value,Medium Risk - Watch,0,0.5579197711063278,High,57.91207224083683,0.0
0318-ZOPWS,Female,No,Yes,No,49,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Bank transfer (automatic),20.15,973.35,No,49-72 mo,0.0,Low,Low Value,Low Risk - Stable,0,0.029997742692738975,Low,0.6044545152586903,0.0
4445-ZJNMU,Male,No,No,No,9,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),99.3,918.75,No,7-12 mo,8.5,Critical,High Value,Critical - High Value at Risk,0,0.8164237607806175,Critical,81.07087944551532,0.0
4808-YNLEU,Female,No,Yes,No,35,Yes,No,DSL,Yes,No,No,No,Yes,No,One year,Yes,Bank transfer (automatic),62.15,2215.45,No,25-48 mo,3.5,Medium,Medium Value,Medium Risk - Watch,0,0.21487800989497374,Low,13.354668314972617,0.0
1862-QRWPE,Female,No,Yes,Yes,48,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Bank transfer (automatic),20.65,1057.0,No,25-48 mo,0.5,Low,Low Value,Low Risk - Stable,0,0.018204046846969853,Low,0.3759135673899274,0.0
2796-NNUFI,Female,No,Yes,Yes,46,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Mailed check,19.95,927.1,No,25-48 mo,0.5,Low,Low Value,Low Risk - Stable,0,0.025470535852879443,Low,0.5081371902649449,0.0
3016-KSVCP,Male,No,Yes,No,29,No,No phone service,DSL,No,No,No,No,Yes,No,Month-to-month,No,Mailed check,33.75,1009.25,No,25-48 mo,6.5,High,Low Value,High Risk - Low Value,0,0.4439529290069277,Medium,14.98341135398381,0.0
4767-HZZHQ,Male,No,Yes,Yes,30,Yes,No,Fiber optic,No,Yes,Yes,No,No,No,Month-to-month,No,Bank transfer (automatic),82.05,2570.2,No,25-48 mo,6.5,High,Medium Value,High Risk - Monitor Closely,0,0.43263887783074334,Medium,35.49801992601249,0.0
2424-WVHPL,Male,Yes,No,No,1,Yes,No,Fiber optic,No,No,No,Yes,No,No,Month-to-month,No,Electronic check,74.7,74.7,No,0-6 mo,10.0,Critical,Medium Value,Critical - At Risk,0,0.8628780668841994,Critical,64.4569915962497,0.0
7233-PAHHL,Male,No,Yes,Yes,66,Yes,Yes,DSL,Yes,No,Yes,Yes,Yes,Yes,Two year,Yes,Mailed check,84.0,5714.25,No,49-72 mo,0.5,Low,High Value,Low Risk - Stable,0,0.061421226821302584,Low,5.159383052989417,0.0
6067-NGCEU,Female,No,No,No,65,Yes,Yes,Fiber optic,Yes,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),111.05,7107.0,No,49-72 mo,5.0,Medium,High Value,Medium Risk - Watch,0,0.5195095632119446,High,57.69153699468645,0.0
9848-JQJTX,Male,No,No,No,72,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Two year,Yes,Bank transfer (automatic),100.9,7459.05,No,49-72 mo,3.0,Medium,High Value,Medium Risk - Watch,0,0.20337812311509615,Low,20.520852622313203,0.0
8637-XJIVR,Female,No,No,No,12,Yes,Yes,Fiber optic,Yes,No,No,No,No,No,Month-to-month,Yes,Electronic check,78.95,927.35,Yes,7-12 mo,9.0,Critical,Medium Value,Critical - At Risk,1,0.7606898824959838,Critical,60.056466223057924,78.95
9803-FTJCG,Male,No,Yes,Yes,71,Yes,Yes,DSL,Yes,Yes,No,Yes,No,No,One year,Yes,Credit card (automatic),66.85,4748.7,No,49-72 mo,1.5,Low,Medium Value,Low Risk - Stable,0,0.06417352800614953,Low,4.2900003472110955,0.0
0278-YXOOG,Male,No,No,No,5,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,21.05,113.85,Yes,0-6 mo,6.0,High,Low Value,High Risk - Low Value,1,0.39150611121546586,Medium,8.241203641085557,21.05
